CNPJ_Fundo_Classe,Data_Referencia,Versao,Nome_Imovel,Endereco,Data_Alienacao,Area,Numero_Unidades,Outras_Caracteristicas_Relevantes,Percentual_Imovel_Total_Investido,Percentual_Imovel_PL,CNPJ_Fundo
,2019-12-31,1,KEY1802A,"Av. Constelação, S/N , Ap. 1802A Bloco Villa Viscaya, Manaus - AM",2019-10-29,98.83,1.0,Nenhuma característica relevante,0.003835,0.002918,32.655.589/0001-52
,2019-12-31,1,NYT_1308,"Avenida Brasilia nº 2121, Sala 1308 - Vila São Paulo, Araçatuba-SP",2019-12-30,42.74,1.0,Não possui características relevantes,0.001551,0.001494,32.655.589/0001-52
,2019-12-31,1,NYT_1401,"Avenida Brasilia nº 2121, Sala 1401 - Vila São Paulo, Araçatuba-SP",2019-12-13,44.36,1.0,Não possui características relevantes,0.001382,0.001321,32.655.589/0001-52
,2019-12-31,1,NYT_1402,"Avenida Brasilia nº 2121, Sala 1402 - Vila São Paulo, Araçatuba-SP",2019-12-13,42.74,1.0,Não possui características relevantes,0.001332,0.001273,32.655.589/0001-52
,2019-12-31,1,NYT_1403,"Avenida Brasilia nº 2121, Sala 1403 - Vila São Paulo, Araçatuba-SP",2019-12-13,42.74,1.0,Não possui características relevantes,0.001332,0.001273,32.655.589/0001-52
,2019-12-31,1,NYT_1404,"Avenida Brasilia nº 2121, Sala 1404 - Vila São Paulo, Araçatuba-SP",2019-12-13,42.74,1.0,Não possui características relevantes,0.001332,0.001273,32.655.589/0001-52
,2019-12-31,1,NYT_1405,"Avenida Brasilia nº 2121, Sala 1405 - Vila São Paulo, Araçatuba-SP",2019-12-13,43.87,1.0,Não possui características relevantes,0.001367,0.001307,32.655.589/0001-52
,2019-12-31,1,NYT_1420,"Avenida Brasilia nº 2121, Sala 1420 - Vila São Paulo, Araçatuba-SP",2019-12-13,42.74,1.0,Não possui características relevantes,0.001332,0.001273,32.655.589/0001-52
,2019-12-31,1,NYT_1421,"Avenida Brasilia nº 2121, Sala 1421 - Vila São Paulo, Araçatuba-SP",2019-12-13,42.74,1.0,Não possui características relevantes,0.001332,0.001273,32.655.589/0001-52
,2019-12-31,1,NYT_1422,"Avenida Brasilia nº 2121, Sala 1422 - Vila São Paulo, Araçatuba-SP",2019-12-13,48.43,1.0,Não possui características relevantes,0.001509,0.001443,32.655.589/0001-52
,2017-03-31,1,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,204.0,6.0,Construção propia,0.0032,0.001,01.235.622/0001-61
,2017-03-31,1,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,215.0,6.0,Construção propia,0.0033,0.001,01.235.622/0001-61
,2017-03-31,1,Fusion,"Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,503.0,17.0,Construção propia,0.0054,0.0017,01.235.622/0001-61
,2017-03-31,1,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,546.0,18.0,Construção propia,0.0066,0.0021,01.235.622/0001-61
,2017-03-31,1,Le Quartier,"Bloco ""A"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,99.0,1.0,Construção propia,0.0011,0.004,01.235.622/0001-61
,2017-03-31,1,Innovitá,"Rua do Matoso, 104, Tijuca, Rio de Janeiro - RJ",,,,Aquisição de unidades prontas,0.0,0.0,01.235.622/0001-61
,2017-03-31,1,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",,355.0,5.0,Aquisição de unidades prontas,0.0036,0.0011,01.235.622/0001-61
,2017-03-31,1,Seasons,"Estrada dos Bandeirantes, 5837 - Jacarepaguá - Rio de Janeiro - RJ",,59.0,1.0,Aquisição de unidades prontas,0.0005,0.0002,01.235.622/0001-61
,2017-03-31,1,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",,482.0,3.0,Aquisição de unidades prontas,0.0082,0.0026,01.235.622/0001-61
,2017-03-31,1,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",,207.0,2.0,Aquisição de unidades prontas,0.0,0.0,01.235.622/0001-61
,2017-03-31,1,Dação Riserva,Vários,,106.0,1.0,n.a,0.001,0.0003,01.235.622/0001-61
,2017-06-30,1,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,114.03,3.0,Construção própia,0.012545,5e-06,01.235.622/0001-61
,2017-06-30,1,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,262.94,7.0,Construção própia,0.028964,1.2e-05,01.235.622/0001-61
,2017-06-30,1,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,324.43,11.0,Construção própia,0.024473,1e-06,01.235.622/0001-61
,2017-06-30,1,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,535.42,17.0,Construção própia,0.04481,1.9e-05,01.235.622/0001-61
,2017-06-30,1,Gift - Vila Isabel,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",,250.28,3.0,Construção própia,0.017434,7e-06,01.235.622/0001-61
,2017-06-30,1,São Clemente,"Rua São Clemente, nº 159, Botafogo, Rio de Janeiro - RJ",,112.0,1.0,Construção própia,0.01324,5e-06,01.235.622/0001-61
,2017-06-30,1,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",,481.92,3.0,Construção própia,0.054144,2.4e-05,01.235.622/0001-61
,2017-06-30,1,Dação Allegro,"Rua Ludwik Macal, 1166 - Jardim da Penha, Vitória - ES",,70.14,1.0,Aquisição de unidades prontas,0.004464,1e-06,01.235.622/0001-61
,2017-06-30,1,Dação Riserva,"Rua Constante Sodré, nº 1.404, Praia do Canto, Vitória - ES",,130.23,1.0,Aquisição de unidades prontas,0.006585,2e-06,01.235.622/0001-61
,2017-09-29,2,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",,274.99,8.0,Construção própia,0.0045399412103165,0.0013259927741836,01.235.622/0001-61
,2017-09-29,2,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",,253.62,7.0,Construção própia,0.0041044830348942,0.0011988073399853,01.235.622/0001-61
,2017-09-29,2,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,37.01,1.0,Construção própia,0.000411369956137,0.0001201499235528,01.235.622/0001-61
,2017-09-29,2,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",,411.7,13.0,Construção própia,0.0042910919854236,0.0012533107153677,01.235.622/0001-61
,2017-09-29,2,Gift - Vila Isabel,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",,141.72,2.0,Construção própia,0.0014101293870413,0.0004118602623381,01.235.622/0001-61
,2017-09-29,2,Allegro,"Rua Ludwik Macal, 1166 - Jardim da Penha, Vitória - ES",,83.7,1.0,Aquisição de unidades prontas,0.0010200637123724,0.0002979327372652,01.235.622/0001-61
,2017-09-29,2,Dação Riserva,"Rua Constante Sodré, nº 1.404, Praia do Canto, Vitória - ES",,115.38,1.0,Aquisição de unidades prontas,0.0005267542121267,0.0001538505118664,01.235.622/0001-61
,2017-12-29,2,Allegro,"Av. Adalberto Simão Nader, 117, Mata da Praia, Vitória - ES",2017-12-29,182.68,2.0,Construção própia,0.0169,0.0005,01.235.622/0001-61
,2017-12-29,2,Estoque Diversos,"Av. Carlos Moreira Lima, nº 460, Vitória-ES /  Av. Central, nº 265, Colinas de Laranjeiras, Serra-ES / Rua Dona Tereza Cristina, no. 179, Colinas de Laranjeiras, Município da Serra/ES",2017-12-29,150.0,1.0,Aquisição de unidades prontas,0.0099,0.0003,01.235.622/0001-61
,2017-12-29,2,Due Capri,"Projeção ""C"" da  SQNW 307, do SHCNW, Brasília - DF",2017-12-29,810.15,15.0,Construção própia,0.067,0.0023,01.235.622/0001-61
,2017-12-29,2,Due Murano,"Projeção ""D"" da  SQNW 307, do SHCNW, Brasília - DF",2017-12-29,550.05,15.0,Construção própia,0.0713,0.0024,01.235.622/0001-61
,2017-12-29,2,Fusion,"Bloco ""D"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,379.81,7.0,Construção própia,0.0193,0.0006,01.235.622/0001-61
,2017-12-29,2,Gift,"Rua 8 de Dezembro,  517, Vila Isabel, Rio de Janeiro - RJ",2017-12-29,347.71,5.0,Aquisição de unidades prontas,0.029,0.001,01.235.622/0001-61
,2017-12-29,2,Riserva,"Rua Constante Sodré, 1313 - Praia do Canto, Vitória - ES",2017-12-29,321.28,2.0,Construção própia,0.045,0.0015,01.235.622/0001-61
,2017-12-29,2,Vision,"Bloco ""F"", do conjunto ""A"", do Edifício ""Fusion Work & Live"" da quadra 01, do SH/Norte, Brasília - DF",2017-12-29,1140.05,18.0,Construção própia,0.059,0.002,01.235.622/0001-61
,2017-12-29,2,Highline Square,"Rua José Alexandre Buaiz, 230, Enseada do Suá, Vitória - ES",2017-12-29,2255.11,30.0,Construção própia,0.2881,0.0099,01.235.622/0001-61
,2017-03-31,4,NEW CENTURY,"Rua Leopoldo Couto de M. Jr, 758, Itaim Bibi, São Paulo/SP",2017-02-20,999.0,1.0,Laje Corporativa,0.074797,0.063487,03.683.056/0001-86
,2017-03-31,1,Não Aplicavel,Não Aplicavel,1899-12-31,0.0,1.0,,0.0,0.0,07.583.627/0001-61
,2017-06-30,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0,07.583.627/0001-61
,2017-09-30,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0,07.583.627/0001-61
,2017-12-31,1,Não Aplicavel,0,1899-12-31,0.0,1.0,0,0.0,0.0,07.583.627/0001-61
,2017-09-30,1,Edifício Santa Catarina,"Av. Paulista, 283 - 9º andar",2017-09-29,1032.3,2.0,Direito de Propriedade,0.016576,0.0345466,08.098.114/0001-28
,2017-06-30,4,Ibis Budget Paulista (ap. 1111),"Rua da Cosolação, 2303 - São Paulo - SP",2017-04-25,12.7,1.0,Ibis Budget Paulista (ap. 1111),0.0005,0.0005,08.706.065/0001-69
,2017-06-30,4,Ibis São Paulo Paulista (ap. 615),"Av Paulista, 2355  - São Paulo - SP",2017-06-07,17.7,1.0,Ibis São Paulo Paulista (ap. 615),0.0009,0.0009,08.706.065/0001-69
,2017-06-30,4,Ibis Budget Paulista (ap. 1120),"Rua da consolação, 2303 -  - São Paulo - SP",2017-05-30,12.7,1.0,Ibis Budget Paulista (ap. 1120),0.0005,0.0005,08.706.065/0001-69
,2017-06-30,4,Ibis São Paulo Paulista (ap. 804),"Av Paulista, 2355  - São Paulo - SP",2017-05-29,17.7,1.0,Ibis São Paulo Paulista (ap. 804),0.0009,0.0009,08.706.065/0001-69
,2017-06-30,4,Ibis Budget Paulista (ap. 603),"Rua da Cosolação, 2303  - São Paulo - SP",2017-05-29,12.7,1.0,Ibis Budget Paulista (ap. 603),0.0005,0.0005,08.706.065/0001-69
,2017-09-30,1,Comfort Nova Paulista,"Rua Vergueiro,2740 - Vila Marina São Paulo - CEP: 04102-001",2017-07-24,47.33,1710.0,Comfort Nova Paulista,0.00076,0.000781,08.706.065/0001-69
,2017-09-30,1,Ibis Budget Jardins,"Av. Nove de Julho, 3957 - Jardins - São Paulo - CEP: 01407-000",2017-08-25,12.72,1009.0,Ibis Budget Jardins,0.000309,0.000316,08.706.065/0001-69
,2017-12-31,2,Ibis Budget Paulista,"Rua da Consolação, nº 2.303 - unid 303 - Sao Paulo",2017-11-29,29.91,1.0,Ibis Budget Paulista,0.000511,0.000566,08.706.065/0001-69
,2017-12-31,2,Ibis Congonhas,Avenida Washington Luiz nº 6.771 - unidade 409 - São Paulo,2017-11-29,58.94,1.0,Ibis Congonhas,0.000873,0.000968,08.706.065/0001-69
,2017-12-31,2,Ibis Budget Jardins,"Avenida Nove de Julho, nº 3.611 - unid 806",2017-12-15,29.65,1.0,Ibis Budget Jardins,0.000354,0.00036,08.706.065/0001-69
,2017-12-31,2,Ibis Budget Jardins,"Avenida Nove de Julho, nº 3.611 - unid 703",2017-12-15,29.65,1.0,Ibis Budget Jardins,0.00034,0.000346,08.706.065/0001-69
,2017-12-31,2,Ibis Budget Jardins,"Avenida Nove de Julho, nº 3.611 - unid 1016",2017-12-14,29.65,1.0,Ibis Budget Jardins,0.000339,0.000345,08.706.065/0001-69
,2017-03-31,1,Edifício Plaza JK,Rua Minas da Prata 30 - São Paulo - SP,2016-08-16,575.22,2.0,-,0.006124,0.006044,09.072.017/0001-29
,2017-06-30,1,Decathlon Praia Grande,Avenida Ayrton Senna da Silva 333,2017-07-14,4247.76,1.0,-,0.0133285777333097,0.0132971865077681,09.072.017/0001-29
,2017-12-31,2,Itamambuca 31 e 32,"Rua Luigi Galvani, 200",2017-12-14,446.0,2.0,-,0.002441,0.002288,09.072.017/0001-29
,2017-12-31,2,Itamambuca 91 e 92,"Rua Luigi Galvani, 200",2017-10-11,446.0,2.0,-,0.002391,0.002281,09.072.017/0001-29
,2017-06-30,4,ED. BERRINI 1511,"Av. Eng. Luís Carlos Berrini, 1.511, São Paulo/SP",2017-04-21,437.0,2.0,Renda,0.0991,0.0722,10.456.810/0001-00
,2017-03-31,1,"Cores da Lapa, 1031","RUA DO RIACHUELO, 92, APTO 1031, LAPA, RIO DE JANEIRO/RJ",2017-01-17,77.27,1.0,"Este imóvel foi permutadoo com o Cores da Lapa, 640",0.0391,0.0191,11.701.400/0001-40
,2017-06-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-05-10,58.02,1.0,"TORRE 2, 74",0.0084102564102564,0.003,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-05-03,76.93,1.0,"TORRE 2, 42",0.0109411764705882,0.0038,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-05-17,76.93,1.0,"TORRE 2, 102",0.0109411764705882,0.0039,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-05-15,76.93,1.0,"TORRE 2, 104",0.0109411764705882,0.0039,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-05-25,76.93,1.0,"TORRE 2, 112",0.0109411764705882,0.0039,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-06-16,76.93,1.0,"TORRE 2, 132",0.0109411764705882,0.004,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-05-02,76.93,1.0,"TORRE 2, 134",0.0109411764705882,0.0038,11.945.604/0001-27
,2017-06-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-05-25,76.93,1.0,"TORRE 2, 144",0.0109411764705882,0.0039,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-07-12,58.02,1.0,"TORRE 1, 34",0.006843,0.003458,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-09-15,56.19,1.0,"TORRE 2, 43",0.006843,0.003062,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-09-29,58.02,1.0,"TORRE 2, 144",0.006843,0.003467,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-08-24,58.02,1.0,"TORRE 3, 54",0.006843,0.003242,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-09-29,58.02,1.0,"TORRE 3, 111",0.006843,0.00306,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-08-23,58.02,1.0,"TORRE 4, 101",0.006843,0.003486,11.945.604/0001-27
,2017-09-30,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-08-23,58.02,1.0,"TORRE 4, 132",0.006843,0.00362,11.945.604/0001-27
,2017-09-30,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-08-17,76.93,1.0,"TORRE 2, 152",0.008453,0.004577,11.945.604/0001-27
,2017-09-30,1,Empreendimento The View,"R. Bimbarra, 215 - Tatuapé, Sao Paulo",2017-08-15,53.66,1.0,"TORRE 1, 133",0.010878,0.004946,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-11-16,58.02,1.0,"TORRE 1, 4",0.006843,0.003427,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-11-24,56.19,1.0,"TORRE 1, 33",0.006843,0.003344,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-11-01,56.19,1.0,"TORRE 1, 73",0.006843,0.003596,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-12-01,56.19,1.0,"TORRE 1, 83",0.006843,0.003617,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-12-06,56.19,1.0,"TORRE 2, 3",0.006843,0.003276,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-12-04,58.02,1.0,"TORRE 3, 22",0.006843,0.00367,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-12-06,58.02,1.0,"TORRE 3, 32",0.006843,0.003561,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-12-13,56.19,1.0,"TORRE 3, 86",0.006843,0.003439,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-10-24,58.02,1.0,"TORRE 4, 52",0.006843,0.003518,11.945.604/0001-27
,2017-12-31,1,Empreendimento Sapopemba,"Avenida Vila Ema nº 5.446, 5.470, 5.478 e 5.490 - Vila Prudente",2017-11-03,56.19,1.0,"TORRE 4, 76",0.006843,0.00354,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-12-22,59.97,1.0,"TORRE 1, 1",0.008453,0.003043,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-10-09,66.41,1.0,"TORRE 1, 66",0.008453,0.003892,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-10-19,76.93,1.0,"TORRE 1, 75",0.008453,0.004507,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-11-10,60.0,1.0,"TORRE 1, 83",0.008453,0.003177,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-11-06,66.41,1.0,"TORRE 2, 33",0.008453,0.004018,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-11-30,66.41,1.0,"TORRE 2, 76",0.008453,0.003806,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-11-09,76.93,1.0,"TORRE 2, 114",0.008453,0.004846,11.945.604/0001-27
,2017-12-31,1,Empreendimento Elizabeta Lips,"Rua Elizabeta Lips, 304 - Taboão da Serra - Jardim Bom Tempo",2017-10-05,76.93,1.0,"TORRE 2, 175",0.008453,0.005022,11.945.604/0001-27
,2017-12-31,1,Empreendimento The View,"R. Bimbarra, 215 - Tatuapé, Sao Paulo",2017-11-24,53.66,1.0,"TORRE 1, 73",0.010878,0.005113,11.945.604/0001-27
,2017-12-29,1,Gomes Freire,"Avenida Gomes Freire, 471, Centro, Rio de Janeiro - RJ",2017-12-22,4959.47,8.0,,1.47479154300847,0.0192447023586982,12.005.956/0001-65
,2017-03-31,1,Focus Business Center,Avenida Geremario Dantas 1401,2017-02-21,19.71,1.0,Sala comercial,0.0037,0.0034,14.056.001/0001-62
,2017-06-30,1,Villaggio Lake & Gardens,"Estrada de Barra da Tijuca 345, Barra da Tijuca , Rio de Janeiro",2017-05-29,111.0,1.0,apartamento de 3 quartos,0.017943,0.0213599772027372,14.056.001/0001-62
,2017-09-30,1,Villaggio Lake & Gardens,"Estrada de Barra da Tijuca 345, Barra da Tijuca , Rio de Janeiro",2017-05-29,111.0,1.0,apartamento de 3 quartos,0.017943,0.0213599772027372,14.056.001/0001-62
,2017-03-31,1,HAPPY PRAIA APTO 608,"Espírito Santo,Serra, Loteamento Portal de Manguinhos, Empreendimento Condomínio Happy Days Manguinhos",2017-01-10,69.96,1.0,,1.0,0.011501,14.665.312/0001-29
,2017-03-31,1,HAPPY PRAIA APTO 708,"Espírito Santo,Serra, Loteamento Portal de Manguinhos, Empreendimento Condomínio Happy Days Manguinhos",2017-01-10,69.96,1.0,,1.0,0.01089,14.665.312/0001-29
,2017-03-31,1,HAPPY VIDA APTO 401,"Espírito Santo,Serra, Loteamento Portal de Manguinhos, Empreendimento Condomínio Happy Days Manguinhos",2017-01-17,69.96,1.0,,1.0,0.011501,14.665.312/0001-29
,2017-03-31,1,HAPPY PRAIA APTO 1008,"Espírito Santo,Serra, Loteamento Portal de Manguinhos, Empreendimento Condomínio Happy Days Manguinhos",2017-01-17,69.96,1.0,,1.0,0.01089,14.665.312/0001-29
,2017-03-31,1,MHR - ILHA DE CRETA 304,"Santa Catarina,Florianópolis, Rua VE-1000 N 156, Empreendimento Marine Home Resort",2017-03-21,397.2,1.0,,1.0,0.096537,14.665.312/0001-29
,2017-06-30,1,MHR - ILHA DE SANTORINE 304,"Santa Catarina,Florianópolis, Rua VE-1000 N 156, Empreendimento Marine Home Resort",2017-01-10,397.2,1.0,,1.0,0.011501,14.665.312/0001-29
,2017-06-30,1,MHR - ILHA DE MIKONOS 304,"Santa Catarina,Florianópolis, Rua VE-1000 N 156, Empreendimento Marine Home Resort",2017-01-10,397.2,1.0,,1.0,0.01089,14.665.312/0001-29
,2017-06-30,1,MHR - ILHA DE KARPATHOS 302,"Santa Catarina,Florianópolis, Rua VE-1000 N 156, Empreendimento Marine Home Resort",2017-01-17,503.15,1.0,,1.0,0.011501,14.665.312/0001-29
,2017-06-30,1,HAPPY CLUBE APTO 103,"Espírito Santo,Serra, Loteamento Portal de Manguinhos, Empreendimento Condomínio Happy Days Manguinhos",2017-01-17,93.3,1.0,,1.0,0.01089,14.665.312/0001-29
,2017-12-31,1,VERIFICAR ESDRAS,,,,,,,,14.665.312/0001-29
,2017-03-31,1,Unidade 2010 - Helbor Trend Higienópolis,"Rua Santa Isabel, 272 - São Paulo/SP",2016-12-24,45.15,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0032,0.0031,17.209.378/0001-00
,2017-06-30,1,Unidade 1407 - Helbor Trend Higienópolis,"Rua Santa Isabel, 272 - São Paulo/SP",2017-06-30,40.5,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0028,0.0029,17.209.378/0001-00
,2017-06-30,1,Unidade 2109 - Helbor Trend Higienópolis,"Rua Santa Isabel, 272 - São Paulo/SP",2017-04-03,96.88,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0031,0.0032,17.209.378/0001-00
,2017-06-30,1,Unidade 1306 - NUN Vila Nova,"Avenida Santo Amaro, nº 604 - São Paulo",2017-04-28,39.33,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0039,0.004,17.209.378/0001-00
,2017-06-30,1,Unidade 2403 - Torre 1 - Urban Resort,Rua Vitória e Praça Júlio de Mesquita - São Paulo,2017-04-05,41.0,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0027,0.0028,17.209.378/0001-00
,2017-06-30,1,Unidade 710 - NUN Vila Nova,"Avenida Santo Amaro, nº 604 - São Paulo",2017-05-05,52.88,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0052,0.0054,17.209.378/0001-00
,2017-09-30,1,Unidade 2309 - NUN Vila Nova,"Avenida Santo Amaro, nº 604 - São Paulo",2017-06-21,52.88,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0054,0.006,17.209.378/0001-00
,2017-09-30,1,Unidade 2310 - NUN Vila Nova,"Avenida Santo Amaro, nº 604 - São Paulo",2017-07-21,52.88,1.0,Alienada através de Instrumento Particular de Contrato de Promessa de Cessão de Direitos e Obrigações Sobre Unidade Condominial a ser Contruída e Outras Avenças,0.0056,0.0062,17.209.378/0001-00
